date,market_cap,total_volume
2013-04-28,1574290977,0
2013-04-29,1649968913,0
2013-04-30,1573695129,0
2013-05-01,1361909542,0
2013-05-02,1207233062,0
2013-05-03,1059332276,0
2013-05-04,1297279381,0
2013-05-05,1361341318,0
2013-05-06,1376929371,0
2013-05-07,1239735234,0
2013-05-08,1314053819,0
2013-05-09,1317998379,0
2013-05-10,1384327591,0
2013-05-11,1318703333,0
2013-05-12,1335652240,0
2013-05-13,1363135571,0
2013-05-14,1331406343,0
2013-05-15,1325647770,0
2013-05-16,1340074886,0
2013-05-17,1430602236,0
2013-05-18,1442793470,0
2013-05-19,1404685634,0
2013-05-20,1426922884,0
2013-05-21,1429160227,0
2013-05-22,1431040009,0
2013-05-23,1463465143,0
2013-05-24,1530584338,0
2013-05-25,1520295963,0
2013-05-26,1566357667,0
2013-05-27,1501662233,0
2013-05-28,1503929390,0
2013-05-29,1481781795,0
2013-05-30,1484912294,0
2013-05-31,1489752851,0
2013-06-01,1502948575,0
2013-06-02,1414349895,0
2013-06-03,1410709639,0
2013-06-04,49707917,0
2013-06-05,1418589428,0
2013-06-06,1421006729,0
2013-06-07,1389763500,0
2013-06-08,1286775894,0
2013-06-09,1267379696,0
2013-06-10,1166539234,0
2013-06-11,1240373338,0
2013-06-12,1272040094,0
2013-06-13,1266359495,0
2013-06-14,1201350193,0
2013-06-15,1150267225,0
2013-06-16,1167745824,0
2013-06-17,1173926821,0
2013-06-18,1195352210,0
2013-06-19,1246938377,0
2013-06-20,1263074355,0
2013-06-21,1297835388,0
2013-06-22,1286583345,0
2013-06-23,1272063822,0
2013-06-24,1280941047,0
2013-06-25,1214837232,0
2013-06-26,1228525142,0
2013-06-27,1226633341,0
2013-06-28,1186426730,0
2013-06-29,1112749809,0
2013-06-30,1135837999,0
2013-07-01,1165312124,0
2013-07-02,1073226195,0
2013-07-03,1085800483,0
2013-07-04,945204989,0
2013-07-05,943567229,0
2013-07-06,818133058,0
2013-07-07,821102006,0
2013-07-08,933975857,0
2013-07-09,920691529,0
2013-07-10,927392534,0
2013-07-11,1031310885,0
2013-07-12,1124345849,0
2013-07-13,1056945886,0
2013-07-14,1144977086,0
2013-07-15,1128734158,0
2013-07-16,1168734205,0
2013-07-17,1191921303,0
2013-07-18,1178239173,0
2013-07-19,1070475633,0
2013-07-20,1105076371,0
2013-07-21,1077787377,0
2013-07-22,1091241234,0
2013-07-23,1107258322,0
2013-07-24,1140395201,0
2013-07-25,1141280876,0
2013-07-26,1168566742,0
2013-07-27,1136319220,0
2013-07-28,1135488979,0
2013-07-29,1189639796,0
2013-07-30,1224036460,0
2013-07-31,1326145548,0
2013-08-01,1279048403,0
2013-08-02,1226266378,0
2013-08-03,1250081205,0
2013-08-04,1311976989,0
2013-08-05,1328893709,0
2013-08-06,1312439059,0
2013-08-07,1319821044,0
2013-08-08,1260203274,0
2013-08-09,1280209104,0
2013-08-10,1271829120,0
2013-08-11,1284297562,0
2013-08-12,1302007023,0
2013-08-13,1312134480,0
2013-08-14,1375848200,0
2013-08-15,1374759894,0
2013-08-16,1348831491,0
2013-08-17,1402291546,0
2013-08-18,1429777904,0
2013-08-19,1476019161,0
2013-08-20,1500788350,0
2013-08-21,1513798290,0
2013-08-22,1520488732,0
2013-08-23,1488507806,0
2013-08-24,1496529234,0
2013-08-25,1518247538,0
2013-08-26,1520534381,0
2013-08-27,1561878847,0
2013-08-28,1531434553,0
2013-08-29,1532877333,0
2013-08-30,1602140326,0
2013-08-31,1703969901,0
2013-09-01,1707477637,0
2013-09-02,1695414233,0
2013-09-03,1698426763,0
2013-09-04,1675222993,0
2013-09-05,1619115010,0
2013-09-06,1574400109,0
